iter	Passed	Remaining
0	162	162061
1	172	86261
2	180	59983
3	185	46200
4	189	37618
5	192	31831
6	195	27686
7	198	24646
8	201	22231
9	205	20301
10	208	18712
11	211	17422
12	214	16320
13	218	15369
14	221	14539
15	224	13835
16	228	13212
17	232	12661
18	235	12149
19	238	11708
20	242	11289
21	245	10909
22	248	10556
23	252	10250
24	255	9957
25	258	9691
26	261	9440
27	265	9217
28	268	9003
29	272	8799
30	275	8617
31	278	8432
32	282	8263
33	285	8100
34	288	7961
35	292	7820
36	295	7689
37	298	7558
38	302	7444
39	305	7326
40	308	7211
41	311	7101
42	314	7003
43	318	6909
44	321	6817
45	324	6722
46	327	6641
47	330	6554
48	333	6477
49	337	6404
50	340	6339
51	343	6269
52	346	6198
53	350	6132
54	353	6074
55	356	6013
56	359	5954
57	363	5897
58	366	5843
59	369	5788
60	372	5739
61	375	5687
62	379	5646
63	382	5600
64	385	5551
65	389	5506
66	392	5467
67	396	5429
68	399	5387
69	402	5345
70	405	5310
71	409	5272
72	412	5234
73	415	5193
74	418	5161
75	421	5126
76	424	5092
77	427	5057
78	431	5027
79	434	4992
80	437	4960
81	440	4929
82	443	4900
83	446	4869
84	449	4840
85	452	4810
86	455	4785
87	459	4761
88	463	4746
89	467	4722
90	471	4710
91	475	4694
92	479	4681
93	484	4665
94	487	4640
95	490	4614
96	492	4588
97	496	4565
98	499	4542
99	502	4518
100	504	4494
101	508	4473
102	511	4451
103	514	4429
104	517	4409
105	520	4388
106	523	4368
107	526	4349
108	529	4329
109	532	4311
110	536	4295
111	539	4276
112	542	4258
113	545	4240
114	549	4225
115	552	4208
116	555	4190
117	558	4173
118	561	4158
119	564	4142
120	568	4126
121	571	4109
122	574	4097
123	578	4087
124	581	4073
125	585	4058
126	588	4047
127	592	4033
128	595	4020
129	599	4009
130	602	3995
131	605	3980
132	609	3971
133	613	3964
134	616	3953
135	620	3938
136	622	3924
137	626	3911
138	629	3898
139	632	3884
140	635	3871
141	639	3861
142	642	3849
143	645	3837
144	648	3824
145	651	3812
146	654	3800
147	658	3788
148	661	3775
149	664	3764
150	667	3755
151	670	3742
152	674	3731
153	677	3720
154	680	3710
155	683	3699
156	686	3688
157	690	3678
158	693	3667
159	696	3656
160	699	3646
161	703	3636
162	706	3626
163	709	3615
164	712	3604
165	715	3594
166	718	3585
167	722	3575
168	725	3566
169	728	3557
170	731	3548
171	735	3539
172	738	3529
173	741	3519
174	745	3514
175	749	3508
176	752	3501
177	756	3492
178	759	3482
179	762	3474
180	765	3465
181	769	3456
182	772	3447
183	775	3438
184	778	3428
185	781	3419
186	784	3411
187	787	3402
188	790	3393
189	794	3385
190	797	3376
191	800	3368
192	803	3359
193	806	3351
194	809	3342
195	812	3334
196	815	3325
197	819	3317
198	822	3310
199	825	3302
200	828	3293
201	831	3285
202	834	3277
203	838	3269
204	841	3262
205	844	3254
206	847	3248
207	851	3240
208	854	3233
209	857	3225
210	861	3220
211	864	3213
212	867	3206
213	870	3198
214	874	3191
215	877	3183
216	880	3178
217	884	3172
218	888	3168
219	891	3161
220	894	3153
221	897	3146
222	900	3139
223	903	3130
224	906	3123
225	909	3115
226	913	3109
227	915	3101
228	918	3093
229	921	3085
230	925	3079
231	928	3072
232	931	3065
233	934	3058
234	937	3052
235	940	3046
236	943	3039
237	947	3032
238	950	3025
239	953	3019
240	956	3013
241	960	3007
242	963	3000
243	966	2994
244	969	2988
245	972	2982
246	976	2976
247	979	2970
248	982	2963
249	985	2957
250	989	2952
251	992	2945
252	995	2939
253	998	2933
254	1001	2926
255	1004	2920
256	1007	2914
257	1010	2907
258	1014	2901
259	1017	2896
260	1020	2890
261	1024	2884
262	1027	2879
263	1030	2873
264	1034	2868
265	1037	2863
266	1041	2860
267	1045	2854
268	1048	2848
269	1051	2841
270	1054	2837
271	1057	2831
272	1060	2825
273	1063	2818
274	1067	2813
275	1070	2808
276	1073	2801
277	1076	2796
278	1080	2790
279	1083	2786
280	1086	2780
281	1089	2774
282	1092	2769
283	1096	2763
284	1099	2757
285	1102	2751
286	1105	2745
287	1108	2740
288	1111	2734
289	1114	2728
290	1117	2722
291	1120	2717
292	1123	2711
293	1126	2706
294	1129	2700
295	1133	2695
296	1136	2690
297	1139	2684
298	1142	2679
299	1146	2674
300	1149	2669
301	1153	2665
302	1156	2659
303	1159	2655
304	1163	2650
305	1166	2644
306	1169	2639
307	1173	2636
308	1176	2631
309	1180	2627
310	1183	2622
311	1187	2617
312	1189	2611
313	1192	2606
314	1195	2600
315	1199	2596
316	1202	2591
317	1205	2585
318	1208	2580
319	1211	2575
320	1215	2570
321	1218	2565
322	1221	2559
323	1224	2555
324	1227	2549
325	1230	2545
326	1234	2539
327	1237	2535
328	1240	2530
329	1243	2524
330	1246	2519
331	1250	2515
332	1253	2510
333	1256	2505
334	1259	2500
335	1262	2495
336	1265	2490
337	1268	2485
338	1272	2480
339	1275	2475
340	1278	2470
341	1281	2466
342	1284	2461
343	1288	2457
344	1291	2452
345	1294	2447
346	1297	2442
347	1301	2437
348	1304	2433
349	1307	2428
350	1311	2425
351	1316	2422
352	1319	2418
353	1322	2413
354	1325	2408
355	1329	2404
356	1332	2400
357	1335	2395
358	1338	2390
359	1342	2386
360	1345	2381
361	1348	2376
362	1351	2372
363	1355	2367
364	1358	2362
365	1361	2358
366	1364	2353
367	1368	2349
368	1371	2344
369	1373	2339
370	1377	2334
371	1380	2330
372	1383	2325
373	1386	2320
374	1389	2315
375	1392	2311
376	1395	2306
377	1398	2302
378	1401	2297
379	1405	2293
380	1408	2289
381	1411	2284
382	1415	2279
383	1418	2275
384	1421	2271
385	1424	2266
386	1428	2261
387	1431	2258
388	1435	2254
389	1438	2249
390	1441	2244
391	1444	2240
392	1447	2236
393	1450	2231
394	1454	2227
395	1457	2222
396	1460	2218
397	1463	2214
398	1466	2209
399	1470	2205
400	1473	2200
401	1476	2196
402	1479	2191
403	1482	2187
404	1485	2182
405	1488	2177
406	1491	2173
407	1496	2170
408	1500	2168
409	1503	2164
410	1507	2159
411	1510	2155
412	1513	2151
413	1517	2147
414	1520	2142
415	1523	2138
416	1526	2134
417	1529	2130
418	1533	2125
419	1536	2121
420	1539	2117
421	1543	2113
422	1546	2109
423	1549	2105
424	1553	2101
425	1556	2096
426	1559	2092
427	1562	2088
428	1565	2083
429	1568	2079
430	1571	2075
